link,title,extracted_at_date,price,id
https://es.wallapop.com/item/bicicleta-rockrider-520-montana-1142493559,Bicicleta Rockrider 520 montaña,2025-06-16 10:20:54,215.0,bicicleta-rockrider-520-montana-1142493559
https://es.wallapop.com/item/btt-rockrider-st540s-doble-suspension-1142478795,BTT Rockrider ST540S Doble Suspensión,2025-06-16 10:20:54,395.0,btt-rockrider-st540s-doble-suspension-1142478795
https://es.wallapop.com/item/bici-mtb-specialized-hardrock-26-pulgadas-talla-m-1142476184,"Bici MTB SPECIALIZED HARDROCK, 26 Pulgadas,Talla:M",2025-06-16 10:20:54,245.0,bici-mtb-specialized-hardrock-26-pulgadas-talla-m-1142476184
https://es.wallapop.com/item/bici-btt-rockrider-st900-sporttrail-27-5-xl-1142474567,"Bici BTT ROCKRIDER ST900 SPORTTRAIL, 27.5"", XL",2025-06-16 10:20:54,495.0,bici-btt-rockrider-st900-sporttrail-27-5-xl-1142474567
https://es.wallapop.com/item/bicicleta-electrica-rockrider-e-st100-1142471577,Bicicleta eléctrica Rockrider E-ST100,2025-06-16 10:20:54,400.0,bicicleta-electrica-rockrider-e-st100-1142471577
https://es.wallapop.com/item/2-mtb-trek-8000-l-y-orbea-alma-m-1142456464,2 MTB: Trek 8000 (L) y Orbea Alma (M),2025-06-16 10:20:54,550.0,2-mtb-trek-8000-l-y-orbea-alma-m-1142456464
https://es.wallapop.com/item/bicicleta-rocky-mountain-element-60-1142445731,Bicicleta Rocky Mountain Element 60,2025-06-16 10:20:54,300.0,bicicleta-rocky-mountain-element-60-1142445731
https://es.wallapop.com/item/bicicleta-montana-trek-3700-mujer-1142423009,Bicicleta montaña Trek 3700 mujer,2025-06-16 10:20:54,200.0,bicicleta-montana-trek-3700-mujer-1142423009
https://es.wallapop.com/item/bicicleta-montana-grupo-fox-kashima-1142412814,Bicicleta montaña grupo Fox kashima ,2025-06-16 10:20:54,270.0,bicicleta-montana-grupo-fox-kashima-1142412814
https://es.wallapop.com/item/mondraker-play-27-5-bicicleta-montana-1142411018,Mondraker Play 27.5 Bicicleta Montaña,2025-06-16 10:20:54,225.0,mondraker-play-27-5-bicicleta-montana-1142411018
https://es.wallapop.com/item/bicicleta-montana-rockrider-1142400518,Bicicleta Montaña Rockrider,2025-06-16 10:20:54,240.0,bicicleta-montana-rockrider-1142400518
https://es.wallapop.com/item/bicicleta-montana-26-fat-bike-1142388830,"Bicicleta Montaña 26"" Fat Bike",2025-06-16 10:20:54,280.0,bicicleta-montana-26-fat-bike-1142388830
https://es.wallapop.com/item/bicicleta-montana-scott-1142381955,Bicicleta montaña Scott ,2025-06-16 10:20:54,350.0,bicicleta-montana-scott-1142381955
https://es.wallapop.com/item/bicicleta-montana-specialized-1142381068,Bicicleta montaña Specialized ,2025-06-16 10:20:54,350.0,bicicleta-montana-specialized-1142381068
https://es.wallapop.com/item/bicicleta-scott-aspect-960-gris-1142378907,Bicicleta Scott Aspect 960 Gris,2025-06-16 10:20:54,520.0,bicicleta-scott-aspect-960-gris-1142378907
https://es.wallapop.com/item/horquilla-rockshox-sid-ultimate-110mm-1142375097,Horquilla Rockshox Sid Ultimate 110mm,2025-06-16 10:20:54,520.0,horquilla-rockshox-sid-ultimate-110mm-1142375097
https://es.wallapop.com/item/merida-big-nine-2021-bicicleta-mtb-1142368446,Merida Big Nine 2021 - Bicicleta MTB,2025-06-16 10:20:54,400.0,merida-big-nine-2021-bicicleta-mtb-1142368446
https://es.wallapop.com/item/orbea-mtb-talla-s-1142346929,Orbea MTB Talla S,2025-06-16 10:20:54,270.0,orbea-mtb-talla-s-1142346929
https://es.wallapop.com/item/bicicleta-btwin-rockrider-540-1142336347,Bicicleta Btwin Rockrider 540,2025-06-16 10:20:54,300.0,bicicleta-btwin-rockrider-540-1142336347
https://es.wallapop.com/item/bicicleta-merida-big-40-mtb-1142326048,Bicicleta Merida Big.40 MTB,2025-06-16 10:20:54,299.0,bicicleta-merida-big-40-mtb-1142326048
https://es.wallapop.com/item/bicicleta-trek-marlin-29-1142325116,Bicicleta Trek Marlin 29,2025-06-16 10:20:54,500.0,bicicleta-trek-marlin-29-1142325116
https://es.wallapop.com/item/sram-axs-gx-12v-grupo-completo-1142324871,SRAM AXS GX 12v - Grupo completo,2025-06-16 10:20:54,260.0,sram-axs-gx-12v-grupo-completo-1142324871
https://es.wallapop.com/item/bicicleta-scott-980-montana-1142316636,"Bicicleta Scott 980 montaña talla l
29 pulgadas
",2025-06-16 10:20:54,450.0,bicicleta-scott-980-montana-1142316636
https://es.wallapop.com/item/patinete-electrico-1142301011,Patinete eléctrico,2025-06-16 10:20:54,500.0,patinete-electrico-1142301011
https://es.wallapop.com/item/bicicleta-rockrider-r29-1142284084,Bicicleta Rockrider R29,2025-06-16 10:20:54,400.0,bicicleta-rockrider-r29-1142284084
https://es.wallapop.com/item/bicicleta-btwin-rockrider-26-usada-1142279758,"Bicicleta BTWIN Rockrider 26"" nunca en la calle. ",2025-06-16 10:20:54,249.0,bicicleta-btwin-rockrider-26-usada-1142279758
https://es.wallapop.com/item/iphone-se-3-generacion-128gb-negro-1142278501,iPhone SE 3ª generación 128gb - Negro,2025-06-16 10:20:54,200.0,iphone-se-3-generacion-128gb-negro-1142278501
https://es.wallapop.com/item/bicicleta-montana-berria-bravo-1142263815,Bicicleta montaña Berria Bravo,2025-06-16 10:20:54,600.0,bicicleta-montana-berria-bravo-1142263815
https://es.wallapop.com/item/bicicleta-electrica-rockrider-mtb-1142254874,Bicicleta eléctrica RockRider MTB,2025-06-16 10:20:54,600.0,bicicleta-electrica-rockrider-mtb-1142254874
https://es.wallapop.com/item/bielas-sram-carbono-mtb-1142248608,Bielas SRAM carbono MTB,2025-06-16 10:20:54,250.0,bielas-sram-carbono-mtb-1142248608
https://es.wallapop.com/item/bicicleta-wst-poison-mtb-27-5-1142248024,Bicicleta WST Poison MTB 29,2025-06-16 10:20:54,430.0,bicicleta-wst-poison-mtb-27-5-1142248024
https://es.wallapop.com/item/bicicleta-nueva-rockrider-st530-1142247200,"Bicicleta nueva Rockrider 27,5",2025-06-16 10:20:54,290.0,bicicleta-nueva-rockrider-st530-1142247200
https://es.wallapop.com/item/bicicleta-merida-montana-1142245280,Bicicleta Merida Montaña,2025-06-16 10:20:54,400.0,bicicleta-merida-montana-1142245280
https://es.wallapop.com/item/merida-bicicleta-aluminio-talla-l-verde-1142226433,Merida Bicicleta Aluminio Talla L Verde,2025-06-16 10:20:54,400.0,merida-bicicleta-aluminio-talla-l-verde-1142226433
https://es.wallapop.com/item/sram-gx-axs-eagle-kit-actualizacion-1142219960,SRAM GX AXS Eagle: Kit actualización,2025-06-16 10:20:54,399.0,sram-gx-axs-eagle-kit-actualizacion-1142219960
https://es.wallapop.com/item/bicicleta-mountain-baik-1142206988,BICICLETA MTB,2025-06-16 10:20:54,300.0,bicicleta-mountain-baik-1142206988
https://es.wallapop.com/item/bicicleta-scott-aspect-910-mtb-1142198135,Bicicleta Scott Aspect 910  29 pulgadas- MTB,2025-06-16 10:20:54,350.0,bicicleta-scott-aspect-910-mtb-1142198135
https://es.wallapop.com/item/mondraker-factor-r-mtb-1142190446,Mondraker Factor R - MTB,2025-06-16 10:20:54,290.0,mondraker-factor-r-mtb-1142190446
https://es.wallapop.com/item/bicicleta-montana-bh-mtb-1142186636,Bicicleta montaña BH - MTB,2025-06-16 10:20:54,290.0,bicicleta-montana-bh-mtb-1142186636
https://es.wallapop.com/item/bicicleta-montana-rockrider-roja-1142175570,Bicicleta montaña Rockrider roja,2025-06-16 10:20:54,270.0,bicicleta-montana-rockrider-roja-1142175570
https://es.wallapop.com/item/bicicleta-bh-extreme-26-talla-l-1142161180,"Bicicleta BH Extreme 26"" Talla L",2025-06-16 10:20:54,250.0,bicicleta-bh-extreme-26-talla-l-1142161180
https://es.wallapop.com/item/bicicleta-cannondale-usada-1142152584,Bicicleta Cannondale usada,2025-06-16 10:20:54,400.0,bicicleta-cannondale-usada-1142152584
https://es.wallapop.com/item/bicicleta-bh-peak-26-6-7-1142134967,"Bicicleta BH Peak 26"" 6.7",2025-06-16 10:20:54,300.0,bicicleta-bh-peak-26-6-7-1142134967
https://es.wallapop.com/item/bicicleta-montana-29-atraktor-1142123893,"Bicicleta montaña 29"" Atraktor",2025-06-16 10:20:54,215.0,bicicleta-montana-29-atraktor-1142123893
https://es.wallapop.com/item/bicicleta-merida-big-nine-300-1142119494,Merida Big Nine 300,2025-06-16 10:20:54,500.0,bicicleta-merida-big-nine-300-1142119494
